company,ticker,fiscal_year,n_ai_sentences_8k,ai_sentiment_8k,n_ai_sentences_10k,ai_sentiment_10k,sentiment_distance,flag,8k_doc_id,8k_filing_date,10k_doc_id,8k_url,10k_url
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2025,7,0.3584,10,-0.0094,0.3678,,cc17488b042fb6a2; df5009af60345014,2025-01-29,33d93dc87232bd2c,https://www.sec.gov/Archives/edgar/data/51143/000005114325000005/ibm-20250129xex991.htm; https://www.sec.gov/Archives/edgar/data/51143/000005114325000005/ibm-20250129xex992.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114325000015/ibm-20241231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2025,0,,10,-0.0094,,LOW_AI_SENTENCE_COUNT,7b91a6482c9a86e7,2024-12-09,33d93dc87232bd2c,https://www.sec.gov/Archives/edgar/data/51143/000005114324000052/form8-k4q24ex991120924.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114325000015/ibm-20241231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2025,40,0.5815,10,-0.0094,0.5909,,b90c25d15d8a73ce; 487e014e32dd7a15,2024-10-24,33d93dc87232bd2c,https://www.sec.gov/Archives/edgar/data/51143/000005114324000045/ex-991.htm; https://www.sec.gov/Archives/edgar/data/51143/000005114324000045/ex-992.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114325000015/ibm-20241231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2025,7,0.4018,10,-0.0094,0.4112,,40778a55f1792e39; e2cea740eefa1526,2024-10-23,33d93dc87232bd2c,https://www.sec.gov/Archives/edgar/data/51143/000005114324000043/ibm-20241023xex991.htm; https://www.sec.gov/Archives/edgar/data/51143/000005114324000043/ibm-20241023xex992.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114325000015/ibm-20241231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2025,54,0.4193,10,-0.0094,0.4287,,4264c8bc8fb3dc0f; 3b401d39ef81b05c,2024-07-25,33d93dc87232bd2c,https://www.sec.gov/Archives/edgar/data/51143/000005114324000035/a2q24-ex991.htm; https://www.sec.gov/Archives/edgar/data/51143/000005114324000035/a2q24-ex992.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114325000015/ibm-20241231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2025,5,0.3732,10,-0.0094,0.3826,,24bbeee04157b36a; 52aeebc8498bef0d,2024-07-24,33d93dc87232bd2c,https://www.sec.gov/Archives/edgar/data/51143/000005114324000033/ibm-20240724xex991.htm; https://www.sec.gov/Archives/edgar/data/51143/000005114324000033/ibm-20240724xex992.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114325000015/ibm-20241231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2025,59,0.5591,10,-0.0094,0.5685,,fa14657bee81c9d0; e6183e840076e5a2,2024-04-25,33d93dc87232bd2c,https://www.sec.gov/Archives/edgar/data/51143/000005114324000021/a1q24-ex99x1.htm; https://www.sec.gov/Archives/edgar/data/51143/000005114324000021/a1q24-ex99x2.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114325000015/ibm-20241231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2025,7,0.6609,10,-0.0094,0.6703,,9aae4ee6abb0bbcb; 4e669863cc807e0d,2024-04-24,33d93dc87232bd2c,https://www.sec.gov/Archives/edgar/data/51143/000005114324000018/ibm-20240424xex991.htm; https://www.sec.gov/Archives/edgar/data/51143/000005114324000018/ibm-20240424xex992.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114325000015/ibm-20241231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2024,1,0.6352,3,-0.1743,0.8095,LOW_AI_SENTENCE_COUNT,a8e0bd690044b859,2024-02-26,04d2599aee71ac54,https://www.sec.gov/Archives/edgar/data/51143/000110465924027204/tm247131d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114324000012/ibm-20231231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2024,38,0.532,3,-0.1743,0.7062,LOW_AI_SENTENCE_COUNT,18e72f96d3aaf691; be011368857a7b8f,2024-01-25,04d2599aee71ac54,https://www.sec.gov/Archives/edgar/data/51143/000005114324000007/ex991.htm; https://www.sec.gov/Archives/edgar/data/51143/000005114324000007/ex992.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114324000012/ibm-20231231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2024,3,0.625,3,-0.1743,0.7993,LOW_AI_SENTENCE_COUNT,4f7a2ce08ec092ec; 76539d99a526078d,2024-01-24,04d2599aee71ac54,https://www.sec.gov/Archives/edgar/data/51143/000005114324000004/ibm-20240124xex991.htm; https://www.sec.gov/Archives/edgar/data/51143/000005114324000004/ibm-20240124xex992.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114324000012/ibm-20231231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2024,0,,3,-0.1743,,LOW_AI_SENTENCE_COUNT,30f96b91e2b54cdc,2023-12-12,04d2599aee71ac54,https://www.sec.gov/Archives/edgar/data/51143/000110465923125363/tm2332699d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114324000012/ibm-20231231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2024,1,0.8642,3,-0.1743,1.0385,LOW_AI_SENTENCE_COUNT,314c80691a2e91ca; 332ad4d7409d5895,2023-10-25,04d2599aee71ac54,https://www.sec.gov/Archives/edgar/data/51143/000005114323000026/ibm-20231025xex991.htm; https://www.sec.gov/Archives/edgar/data/51143/000005114323000026/ibm-20231025xex992.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114324000012/ibm-20231231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2024,0,,3,-0.1743,,LOW_AI_SENTENCE_COUNT,5606aa0f32a04d2c,2023-07-31,04d2599aee71ac54,https://www.sec.gov/Archives/edgar/data/51143/000110465923085847/tm2322351d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114324000012/ibm-20231231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2024,39,0.5041,3,-0.1743,0.6784,LOW_AI_SENTENCE_COUNT,4990deffd27d7d87; fcdeb3bf8dff04be,2023-07-20,04d2599aee71ac54,https://www.sec.gov/Archives/edgar/data/51143/000005114323000015/ibm-2023x07x20xex991.htm; https://www.sec.gov/Archives/edgar/data/51143/000005114323000015/ibm-2023x07x20xex992.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114324000012/ibm-20231231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2024,2,0.8502,3,-0.1743,1.0245,LOW_AI_SENTENCE_COUNT,498145b9193ceb67; 986834fa0b8b831a,2023-07-19,04d2599aee71ac54,https://www.sec.gov/Archives/edgar/data/51143/000005114323000010/ibm-20230719xex991.htm; https://www.sec.gov/Archives/edgar/data/51143/000005114323000010/ibm-20230719xex992.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114324000012/ibm-20231231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2024,30,0.4505,3,-0.1743,0.6248,LOW_AI_SENTENCE_COUNT,e163ce7f6d59b1bc; 02ac78672af6a55f,2023-04-20,04d2599aee71ac54,https://www.sec.gov/Archives/edgar/data/51143/000155837023006321/ibm-20230419xex99d1.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837023006321/ibm-20230419xex99d2.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114324000012/ibm-20231231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2024,1,0.9272,3,-0.1743,1.1015,LOW_AI_SENTENCE_COUNT,f86a6d38820dbe28; 513d717c4907334c,2023-04-19,04d2599aee71ac54,https://www.sec.gov/Archives/edgar/data/51143/000155837023006218/ibm-20230419xex99d1.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837023006218/ibm-20230419xex99d2.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114324000012/ibm-20231231.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2023,34,0.5106,1,0.8106,-0.3,LOW_AI_SENTENCE_COUNT,8fa45101c69f0620; 30d10c71be733c5c,2023-01-26,8eedb52bda226940,https://www.sec.gov/Archives/edgar/data/51143/000155837023000608/ibm-20230125xex99d1.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837023000608/ibm-20230125xex99d2.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837023002376/ibm-20221231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2023,1,0.8736,1,0.8106,0.0631,LOW_AI_SENTENCE_COUNT,10591cd810009c17; d90a8237f89401bd,2023-01-25,8eedb52bda226940,https://www.sec.gov/Archives/edgar/data/51143/000155837023000529/ibm-20230125xex99d1.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837023000529/ibm-20230125xex99d2.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837023002376/ibm-20221231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2023,20,0.5319,1,0.8106,-0.2787,LOW_AI_SENTENCE_COUNT,03a541acd10772af; 199497ba881e4a39,2022-10-20,8eedb52bda226940,https://www.sec.gov/Archives/edgar/data/51143/000155837022015133/ibm-20221019xex99d1.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837022015133/ibm-20221019xex99d2.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837023002376/ibm-20221231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2023,0,,1,0.8106,,LOW_AI_SENTENCE_COUNT,35b70ed4be1e6c5a; aa077ca63f2ad2a0,2022-10-19,8eedb52bda226940,https://www.sec.gov/Archives/edgar/data/51143/000155837022015079/ibm-20221019xex99d1.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837022015079/ibm-20221019xex99d2.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837023002376/ibm-20221231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2023,24,0.4973,1,0.8106,-0.3133,LOW_AI_SENTENCE_COUNT,38f88f2c12f02f71; ce8480e92b96d57b,2022-07-19,8eedb52bda226940,https://www.sec.gov/Archives/edgar/data/51143/000155837022010829/ibm-20220718xex99d1.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837022010829/ibm-20220718xex99d2.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837023002376/ibm-20221231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2023,5,0.2907,1,0.8106,-0.5198,LOW_AI_SENTENCE_COUNT,15f4a4125c26c284; 94a7125414ac6891; 4eac15a2917d7a66,2022-07-18,8eedb52bda226940,https://www.sec.gov/Archives/edgar/data/51143/000155837022010793/ibm-20220718xex99d1.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837022010793/ibm-20220718xex99d2.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837022010793/ibm-20220718xex99d3.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837023002376/ibm-20221231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2023,22,0.5465,1,0.8106,-0.264,LOW_AI_SENTENCE_COUNT,c6e1d758080e6cf2; c78b09a5de149756,2022-04-20,8eedb52bda226940,https://www.sec.gov/Archives/edgar/data/51143/000155837022005646/ibm-20220419xex99d1.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837022005646/ibm-20220419xex99d2.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837023002376/ibm-20221231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2023,5,0.2748,1,0.8106,-0.5357,LOW_AI_SENTENCE_COUNT,23f866e4d2db89f7; 2ac3193350cbb0d5; 30034d53fda1da26,2022-04-19,8eedb52bda226940,https://www.sec.gov/Archives/edgar/data/51143/000155837022005584/ibm-20220419xex99d1.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837022005584/ibm-20220419xex99d2.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837022005584/ibm-20220419xex99d3.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837023002376/ibm-20221231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2023,1,0.323,1,0.8106,-0.4875,LOW_AI_SENTENCE_COUNT,6e2cfb144534b8ae,2022-03-31,8eedb52bda226940,https://www.sec.gov/Archives/edgar/data/51143/000155837022004921/ibm-20220331xex99d1.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837023002376/ibm-20221231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2022,27,0.6465,2,-0.0532,0.6997,LOW_AI_SENTENCE_COUNT,e3d9250c4b318d35; 5a299764b0a6873f,2022-01-25,f14a2aa7375c1669,https://www.sec.gov/Archives/edgar/data/51143/000155837022000425/ibm-20220124xex99d1.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837022000425/ibm-20220124xex99d2.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837022001584/ibm-20211231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2022,4,0.123,2,-0.0532,0.1762,LOW_AI_SENTENCE_COUNT,e4f6b324c8dca991; 5178f91cc1bbd52d; a9757dfe19e227d0,2022-01-24,f14a2aa7375c1669,https://www.sec.gov/Archives/edgar/data/51143/000155837022000384/ibm-20220124xex99d1.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837022000384/ibm-20220124xex99d2.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837022000384/ibm-20220124xex99d3.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837022001584/ibm-20211231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2022,5,0.3946,2,-0.0532,0.4478,LOW_AI_SENTENCE_COUNT,d0d308ce4f419825; 580d73ffdb44b615,2021-12-27,f14a2aa7375c1669,https://www.sec.gov/Archives/edgar/data/51143/000155837021017039/ibm-20211227xex99d1.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837021017039/ibm-20211227xex99d2.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837022001584/ibm-20211231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2022,0,,2,-0.0532,,LOW_AI_SENTENCE_COUNT,f858b5b149441200,2021-11-29,f14a2aa7375c1669,https://www.sec.gov/Archives/edgar/data/51143/000155837021016363/ibm-20211129xex99d1.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837022001584/ibm-20211231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2022,0,,2,-0.0532,,LOW_AI_SENTENCE_COUNT,b2b03397f62589f8; 03d704e34d211a6a; 4155d2f24a62ec1c,2021-11-04,f14a2aa7375c1669,https://www.sec.gov/Archives/edgar/data/51143/000155837021014643/ibm-20211103xex99d1.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837021014643/ibm-20211103xex99d2.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837021014643/ibm-20211103xex99d3.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837022001584/ibm-20211231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2022,18,0.4675,2,-0.0532,0.5208,LOW_AI_SENTENCE_COUNT,66226435d68ccadd; 0b4cf4aa1459a193,2021-10-21,f14a2aa7375c1669,https://www.sec.gov/Archives/edgar/data/51143/000155837021013351/ibm-20211020xex99d1.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837021013351/ibm-20211020xex99d2.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837022001584/ibm-20211231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2022,1,0.7701,2,-0.0532,0.8233,LOW_AI_SENTENCE_COUNT,bc4882d2b5294344; d74b825de1c2af04; 4f6e54e3889deaf6,2021-10-20,f14a2aa7375c1669,https://www.sec.gov/Archives/edgar/data/51143/000155837021013312/ibm-20211020xex99d1.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837021013312/ibm-20211020xex99d2.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837021013312/ibm-20211020xex99d3.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837022001584/ibm-20211231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2022,0,,2,-0.0532,,LOW_AI_SENTENCE_COUNT,d0060b8c1d71ad8b,2021-10-15,f14a2aa7375c1669,https://www.sec.gov/Archives/edgar/data/51143/000110465921126749/tm2130095d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837022001584/ibm-20211231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2022,0,,2,-0.0532,,LOW_AI_SENTENCE_COUNT,a5b00daf0251d884,2021-10-12,f14a2aa7375c1669,https://www.sec.gov/Archives/edgar/data/51143/000110465921125064/tm2128856d3_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837022001584/ibm-20211231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2022,13,0.1014,2,-0.0532,0.1547,LOW_AI_SENTENCE_COUNT,cdb9422801508b80; fd9425a4fdbd3dca; 4623a92c71ee3231,2021-10-04,f14a2aa7375c1669,https://www.sec.gov/Archives/edgar/data/51143/000155837021012961/ibm-20211004xex99d1.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837021012961/ibm-20211004xex99d2.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837021012961/ibm-20211004xex99d3.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837022001584/ibm-20211231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2022,0,,2,-0.0532,,LOW_AI_SENTENCE_COUNT,392510562a3b4177,2021-09-30,f14a2aa7375c1669,https://www.sec.gov/Archives/edgar/data/51143/000110465921121014/tm2128856d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837022001584/ibm-20211231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2022,1,0.5011,2,-0.0532,0.5544,LOW_AI_SENTENCE_COUNT,43cb4692cfb9000e; b1a1290d72dc8042; f4e78055e9ae93d2,2021-09-28,f14a2aa7375c1669,https://www.sec.gov/Archives/edgar/data/51143/000155837021012847/ibm-20210928xex99d1.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837021012847/ibm-20210928xex99d2.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837021012847/ibm-20210928xex99d3.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837022001584/ibm-20211231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2022,23,0.5118,2,-0.0532,0.5651,LOW_AI_SENTENCE_COUNT,1330a2556430c294; 29d72fe060b41172,2021-07-20,f14a2aa7375c1669,https://www.sec.gov/Archives/edgar/data/51143/000155837021009019/ibm-20210719xex99d1.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837021009019/ibm-20210719xex99d2.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837022001584/ibm-20211231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2022,4,0.8903,2,-0.0532,0.9435,LOW_AI_SENTENCE_COUNT,8b087e9c9622c1c2; 9191650d8e413e45; 525ed8f9d77a8907,2021-07-19,f14a2aa7375c1669,https://www.sec.gov/Archives/edgar/data/51143/000155837021009005/ibm-20210719xex99d1.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837021009005/ibm-20210719xex99d2.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837021009005/ibm-20210719xex99d3.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837022001584/ibm-20211231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2022,18,0.6477,2,-0.0532,0.701,LOW_AI_SENTENCE_COUNT,05f334cf4091315f; ba172b6b0c0fd0d7,2021-04-20,f14a2aa7375c1669,https://www.sec.gov/Archives/edgar/data/51143/000155837021004495/ibm-20210419xex99d1.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837021004495/ibm-20210419xex99d2.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837022001584/ibm-20211231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2022,1,0.9331,2,-0.0532,0.9863,LOW_AI_SENTENCE_COUNT,0595ccc9ce4706a7; e353b86b04b7d8fb; 7a09d718998526b9,2021-04-19,f14a2aa7375c1669,https://www.sec.gov/Archives/edgar/data/51143/000155837021004470/ibm-20210419xex99d1.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837021004470/ibm-20210419xex99d2.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837021004470/ibm-20210419xex99d3.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837022001584/ibm-20211231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2022,1,0.8946,2,-0.0532,0.9479,LOW_AI_SENTENCE_COUNT,8267408cea9cf29e,2021-02-24,f14a2aa7375c1669,https://www.sec.gov/Archives/edgar/data/51143/000110465921027214/tm217754d1_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837022001584/ibm-20211231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2021,23,0.5306,2,-0.0519,0.5826,LOW_AI_SENTENCE_COUNT,6b34c1c069f274b9; d31abd4e23a11246,2021-01-22,491ea0224f5efd8f,https://www.sec.gov/Archives/edgar/data/51143/000155837021000349/ibm-20210121xex99d1.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837021000349/ibm-20210121xex99d2.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837021001489/ibm-20201231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2021,2,0.8923,2,-0.0519,0.9443,LOW_AI_SENTENCE_COUNT,c3b1659fbdddd73c; 04e50a453dc4dcf0; 6256b07cc12a0d8c,2021-01-21,491ea0224f5efd8f,https://www.sec.gov/Archives/edgar/data/51143/000155837021000327/ibm-20210121xex99d1.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837021000327/ibm-20210121xex99d2.htm; https://www.sec.gov/Archives/edgar/data/51143/000155837021000327/ibm-20210121xex99d3.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837021001489/ibm-20201231x10k.htm
INTERNATIONAL BUSINESS MACHINES CORP,IBM,2021,0,,2,-0.0519,,LOW_AI_SENTENCE_COUNT,001c47e846572c3b,2020-12-18,491ea0224f5efd8f,https://www.sec.gov/Archives/edgar/data/51143/000110465920137423/tm2038625d2_ex99-1.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837021001489/ibm-20201231x10k.htm
